Timestamp	Programmierkenntnisse	Programmiersprachen	Mich interessieren besonders	Betriebssystem	Mich interessiert außerdem	Weitere Anmerkungen
7/22/2014 6:13:03	in einer Sprache außer Python programmiert (z.B. in EINP/DAP)	C++/Java/PHP	Umgang mit der Kommandozeile (bash), Auswerten mit einer richtigen Programmiersprache (Python+numpy+scipy), Vernünftige Plots erstellen (Python+matplotlib), Automatisierung von Fehlerrechnung (Python+uncertainties+sympy), Protokolle automatisiert und reproduzierbar erstellen (make), Zusammenarbeit mittels Versionskontrolle (git)	OS X		
7/22/2014 11:19:32	noch nie Programmiert	Basic, Skript	Auswerten mit einer richtigen Programmiersprache (Python+numpy+scipy), Automatisierung von Fehlerrechnung (Python+uncertainties+sympy), Protokolle automatisiert und reproduzierbar erstellen (make)	OS X	Auslesen von Internetseiten	
7/22/2014 23:11:20	noch nie Programmiert		Vernünftige Plots erstellen (Python+matplotlib), Automatisierung von Fehlerrechnung (Python+uncertainties+sympy), Protokolle automatisiert und reproduzierbar erstellen (make)	Windows		
7/23/2014 2:05:32	in einer Sprache außer Python programmiert (z.B. in EINP/DAP)	C++	Umgang mit der Kommandozeile (bash), Auswerten mit einer richtigen Programmiersprache (Python+numpy+scipy), Vernünftige Plots erstellen (Python+matplotlib), Automatisierung von Fehlerrechnung (Python+uncertainties+sympy), Protokolle automatisiert und reproduzierbar erstellen (make), Zusammenarbeit mittels Versionskontrolle (git)	Windows		
7/23/2014 9:59:35	in einer Sprache außer Python programmiert (z.B. in EINP/DAP)	C++, Latex	Umgang mit der Kommandozeile (bash), Auswerten mit einer richtigen Programmiersprache (Python+numpy+scipy), Vernünftige Plots erstellen (Python+matplotlib), Automatisierung von Fehlerrechnung (Python+uncertainties+sympy), Protokolle automatisiert und reproduzierbar erstellen (make)	Windows		
7/24/2014 1:19:56	noch nie Programmiert		Umgang mit der Kommandozeile (bash), Auswerten mit einer richtigen Programmiersprache (Python+numpy+scipy), Vernünftige Plots erstellen (Python+matplotlib), Automatisierung von Fehlerrechnung (Python+uncertainties+sympy), Protokolle automatisiert und reproduzierbar erstellen (make), Zusammenarbeit mittels Versionskontrolle (git)	OS X		
7/24/2014 8:05:11	in einer Sprache außer Python programmiert (z.B. in EINP/DAP)	Java, C++	Umgang mit der Kommandozeile (bash), Auswerten mit einer richtigen Programmiersprache (Python+numpy+scipy), Vernünftige Plots erstellen (Python+matplotlib), Automatisierung von Fehlerrechnung (Python+uncertainties+sympy), Protokolle automatisiert und reproduzierbar erstellen (make)	Windows		
7/25/2014 16:52:50	in einer Sprache außer Python programmiert (z.B. in EINP/DAP)	Java, C++, (MATLAB/Octave, LaTeX)	Umgang mit der Kommandozeile (bash), Auswerten mit einer richtigen Programmiersprache (Python+numpy+scipy), Vernünftige Plots erstellen (Python+matplotlib), Automatisierung von Fehlerrechnung (Python+uncertainties+sympy), Protokolle automatisiert und reproduzierbar erstellen (make)	Windows		
7/25/2014 18:11:58	in einer Sprache außer Python programmiert (z.B. in EINP/DAP)	Basic		Windows		Höma II zweittermin: 26.09.2014 8-9:30
7/27/2014 6:41:20	in einer Sprache außer Python programmiert (z.B. in EINP/DAP)	HTML	Vernünftige Plots erstellen (Python+matplotlib), Automatisierung von Fehlerrechnung (Python+uncertainties+sympy), Protokolle automatisiert und reproduzierbar erstellen (make)	Windows		
