"Zeitstempel","Betriebssystem","Erfahrung mit LaTeX","Mich interessiert besonders","Mich interessiert außerdem","Weitere Anmerkungen"
"2016/09/20 12:57:50 nachm. OEZ","Windows","noch nie von gehört","Formelsatz","",""
"2016/09/21 11:17:13 nachm. OEZ","Windows","noch nie von gehört","Textsatz;Formelsatz;Korrektes Zitieren und erstellen von Literaturverzeichnissen","",""
"2016/09/24 5:15:39 nachm. OEZ","Windows","noch nie von gehört","Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen;Erstellen von Präsentationen mit LaTeX-Beamer","",""
"2016/09/25 8:06:05 nachm. OEZ","Windows","noch nie von gehört","Erstellen von Präsentationen mit LaTeX-Beamer","",""
"2016/09/26 8:27:52 nachm. OEZ","Windows","schon mal ausprobiert","Textsatz;Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ","ordentliches Einbinden externer Grafiken und/oder plots",""
"2016/09/27 12:06:10 nachm. OEZ","Windows","schon mal ausprobiert","Textsatz;Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen","",""
"2016/09/27 6:49:20 nachm. OEZ","ArchLinux","schon mal ausprobiert","Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen","",""
"2016/09/29 11:28:58 vorm. OEZ","Debian/Ubuntu","TeXpert","Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen;Erstellen von Präsentationen mit LaTeX-Beamer","",""
"2016/10/01 1:10:27 nachm. OEZ","Windows","noch nie von gehört","Textsatz;Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ;Erstellen von Präsentationen mit LaTeX-Beamer","alles",""
"2016/10/02 12:47:50 nachm. OEZ","Debian/Ubuntu","schon mal ausprobiert","Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ;Erstellen von Präsentationen mit LaTeX-Beamer","",""
"2016/10/02 4:39:20 nachm. OEZ","Windows","noch nie von gehört","Formelsatz;Erstellen von Zeichnungen in TeX mit TikZ","",""
"2016/10/03 1:13:31 nachm. OEZ","Windows","schon mal ausprobiert","Textsatz;Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ;Erstellen von Präsentationen mit LaTeX-Beamer","",""
"2016/10/03 5:28:39 nachm. OEZ","Windows","noch nie von gehört","Textsatz;Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ;Erstellen von Präsentationen mit LaTeX-Beamer","",""
"2016/10/03 10:15:22 nachm. OEZ","Debian/Ubuntu","schon mal ausprobiert","Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen;Erstellen von Zeichnungen in TeX mit TikZ","",""
"2016/10/04 4:32:18 nachm. OEZ","Windows","schon mal ausprobiert","Textsatz;Formelsatz;Automatisiertes erstellen von Inhaltsverzeichnissen und anderen Verzeichnissen;Korrektes Zitieren und erstellen von Literaturverzeichnissen","",""
"2016/10/05 4:08:17 nachm. OEZ","Windows","schon mal ausprobiert","Formelsatz;Korrektes Zitieren und erstellen von Literaturverzeichnissen","",""
